time,edge,density,speed,waiting,mode,congestion
14,N3_N2,0,13.9,0.0,0,0
14,N3_N6,5,10.84364005631476,0.0,0,0
14,N4_N1,0,13.9,0.0,0,0
14,N4_N5,0,13.9,0.0,0,0
14,N4_N7,0,13.9,0.0,0,0
14,N5_N2,0,13.9,0.0,0,0
14,N5_N4,0,13.9,0.0,0,0
14,N5_N6,0,13.9,0.0,0,0
14,N5_N8,0,13.9,0.0,0,0
14,N6_N3,0,13.9,0.0,0,0
14,N6_N5,0,13.9,0.0,0,0
14,N6_N9,0,13.9,0.0,0,0
14,N7_N4,0,13.9,0.0,0,0
14,N7_N8,0,13.9,0.0,0,0
14,N8_N5,0,13.9,0.0,0,0
14,N8_N7,0,13.9,0.0,0,0
14,N8_N9,0,13.9,0.0,0,0
14,N9_N6,0,13.9,0.0,0,0
14,N9_N8,0,13.9,0.0,0,0
15,N1_N2,5,9.869739106272826,0.0,0,0
15,N1_N4,6,9.510834462848809,0.0,0,0
15,N2_N1,0,13.9,0.0,0,0
15,N2_N3,0,13.9,0.0,0,0
15,N2_N5,0,13.9,0.0,0,0
15,N3_N2,0,13.9,0.0,0,0
15,N3_N6,6,9.687139254838527,0.0,0,0
15,N4_N1,0,13.9,0.0,0,0
15,N4_N5,0,13.9,0.0,0,0
15,N4_N7,0,13.9,0.0,0,0
15,N5_N2,0,13.9,0.0,0,0
15,N5_N4,0,13.9,0.0,0,0
15,N5_N6,0,13.9,0.0,0,0
15,N5_N8,0,13.9,0.0,0,0
15,N6_N3,0,13.9,0.0,0,0
15,N6_N5,0,13.9,0.0,0,0
15,N6_N9,0,13.9,0.0,0,0
15,N7_N4,0,13.9,0.0,0,0
15,N7_N8,0,13.9,0.0,0,0
15,N8_N5,0,13.9,0.0,0,0
15,N8_N7,0,13.9,0.0,0,0
15,N8_N9,0,13.9,0.0,0,0
15,N9_N6,0,13.9,0.0,0,0
15,N9_N8,0,13.9,0.0,0,0
16,N1_N2,5,10.501592956322302,0.0,0,0
16,N1_N4,6,10.239872623989056,0.0,0,0
16,N2_N1,0,13.9,0.0,0,0
16,N2_N3,0,13.9,0.0,0,0
16,N2_N5,0,13.9,0.0,0,0
16,N3_N2,0,13.9,0.0,0,0
16,N3_N6,6,10.490431127936876,0.0,0,0
16,N4_N1,0,13.9,0.0,0,0
16,N4_N5,0,13.9,0.0,0,0
16,N4_N7,0,13.9,0.0,0,0
